V_actual,OMEGA_actual,V_ref,OMEGA_ref
0.0028420308936033117,-0.3143217423561377,0.0,-0.3141592653589793
0.0028462943389604787,-0.3145990812883458,0.0,-0.3141592653589793
0.0028473054155710494,-0.3147689724949116,0.0,-0.3141592653589793
0.0028411808904792606,-0.31481475643933227,0.0,-0.3141592653589793
0.0028303512088473687,-0.31460203395831476,0.0,-0.3141592653589793
0.0028159647480610105,-0.3142469901540011,0.0,-0.3141592653589793
0.002774854215276263,-0.313270979755787,0.0,-0.3141592653589793
0.00271664515126174,-0.3080688721614996,0.0,-0.3141592653589793
0.00023835172446446513,-0.2793578556051749,0.0,-0.3141592653589793
0.002914665137904393,-0.3128648982492388,0.0,-0.3141592653589793
0.0027776060784313423,-0.31141116546139885,0.0,-0.3141592653589793
0.002768283759278913,-0.3111389176545284,0.0,-0.3141592653589793
0.002774958028651008,-0.3111578542976134,0.0,-0.3141592653589793
0.002777539795885297,-0.31140360539103407,0.0,-0.3141592653589793
0.002779665398418843,-0.3115850159580219,0.0,-0.3141592653589793
0.0027847072446359144,-0.31196765036406304,0.0,-0.3141592653589793
0.0027876124012074007,-0.31215756412903783,0.0,-0.3141592653589793
0.0027925036147565404,-0.312442621014417,0.0,-0.3141592653589793
0.0027973848027566988,-0.31272945238775585,0.0,-0.3141592653589793
0.0028022671411773456,-0.31301967012172766,0.0,-0.3141592653589793
0.002807698851445669,-0.3133113117866032,0.0,-0.3141592653589793
0.0028141704071545123,-0.31360211793369175,0.0,-0.3141592653589793
